Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
-4.000E+0	4.737E-5	2.939E-9	1.184E+0	5.641E-1	4.764E-2	-3.740E-2	1.260E-2	2.881E-1	6.553E-1	3.808E+2	2.749E-6
-3.800E+0	3.966E-5	3.822E-9	9.916E-1	7.335E-1	7.397E-2	-6.113E-2	1.956E-2			3.811E+2	8.460E-7
-3.600E+0	3.285E-5	2.843E-9	8.212E-1	5.456E-1	6.644E-2	-5.795E-2	1.757E-2			3.815E+2	0.000E+0
-3.400E+0	5.795E-6	2.342E-9	1.449E-1	4.494E-1	3.102E-1	-2.865E-1	8.203E-2			3.819E+2	1.903E-6
-3.200E+0	4.085E-6	1.359E-9	1.021E-1	2.607E-1	2.553E-1	-2.505E-1	6.751E-2			3.822E+2	3.595E-6
-3.000E+0	2.605E-6	2.227E-9	6.513E-2	4.275E-1	6.564E-1	-6.870E-1	1.735E-1			3.826E+2	5.709E-6
-2.800E+0	1.956E-6	3.185E-9	4.891E-2	6.113E-1	1.250E+0	-1.402E+0	3.305E-1			3.830E+2	1.903E-6
-2.600E+0	1.590E-6	2.613E-9	3.975E-2	5.014E-1	1.261E+0	-1.523E+0	3.335E-1			3.833E+2	1.903E-6
-2.400E+0	1.228E-6	1.493E-9	3.069E-2	2.865E-1	9.333E-1	-1.221E+0	2.468E-1			3.837E+2	9.304E-6
-2.200E+0	8.218E-7	2.410E-9	2.054E-2	4.625E-1	2.251E+0	-3.213E+0	5.952E-1			3.841E+2	8.881E-6
-2.000E+0	5.344E-7	2.958E-9	1.336E-2	5.677E-1	4.249E+0	-6.672E+0	1.124E+0			3.844E+2	1.903E-6
-1.800E+0	4.299E-7	3.032E-9	1.075E-2	5.820E-1	5.415E+0	-9.446E+0	1.432E+0			3.848E+2	5.498E-6
-1.600E+0	2.878E-7	3.126E-9	7.196E-3	6.000E-1	8.338E+0	-1.636E+1	2.205E+0			3.852E+2	6.132E-6
-1.400E+0	2.066E-7	1.442E-9	5.164E-3	2.769E-1	5.361E+0	-1.202E+1	1.418E+0			3.855E+2	1.311E-5
-1.200E+0	1.473E-7	2.492E-9	3.682E-3	4.783E-1	1.299E+1	-3.399E+1	3.434E+0			3.859E+2	4.230E-7
-1.000E+0	1.003E-7	2.698E-9	2.506E-3	5.179E-1	2.066E+1	-6.488E+1	5.463E+0			3.863E+2	7.612E-6
-8.000E-1	5.617E-8	3.114E-9	1.404E-3	5.977E-1	4.256E+1	-1.671E+2	1.125E+1			3.866E+2	4.440E-6
-6.000E-1	3.325E-8	3.288E-9	8.313E-4	6.311E-1	7.592E+1	-3.973E+2	2.007E+1			3.870E+2	8.460E-7
-4.000E-1	7.832E-9	3.347E-9	1.958E-4	6.424E-1	3.281E+2	-2.576E+3	8.676E+1			3.874E+2	4.230E-7
-2.000E-1	7.693E-10	1.508E-9	1.923E-5	2.895E-1	1.505E+3	-2.363E+4	3.980E+2			3.877E+2	6.343E-6
1.277E-15	5.226E-10	2.146E-9	1.306E-5	4.120E-1	3.153E+3	7.755E+18	8.337E+2			3.881E+2	1.057E-6
2.000E-1	2.132E-9	3.727E-9	5.329E-5	7.154E-1	1.342E+3	2.108E+4	3.550E+2			3.885E+2	3.595E-6
4.000E-1	4.603E-9	3.612E-9	1.151E-4	6.933E-1	6.025E+2	4.730E+3	1.593E+2			3.888E+2	3.383E-6
6.000E-1	1.403E-8	1.460E-9	3.507E-4	2.803E-1	7.992E+1	4.182E+2	2.113E+1			3.892E+2	2.960E-6
8.000E-1	1.786E-8	2.696E-9	4.464E-4	5.175E-1	1.159E+2	4.550E+2	3.065E+1			3.895E+2	4.863E-6
1.000E+0	2.184E-8	2.492E-9	5.459E-4	4.783E-1	8.761E+1	2.751E+2	2.317E+1			3.899E+2	2.537E-6
1.200E+0	3.399E-8	1.838E-9	8.497E-4	3.528E-1	4.152E+1	1.086E+2	1.098E+1			3.903E+2	6.344E-6
1.400E+0	6.134E-8	1.634E-9	1.533E-3	3.136E-1	2.045E+1	4.587E+1	5.407E+0			3.906E+2	2.749E-6
1.600E+0	1.465E-7	2.685E-9	3.662E-3	5.154E-1	1.407E+1	2.762E+1	3.721E+0			3.910E+2	6.555E-6
1.800E+0	9.117E-8	2.991E-9	2.279E-3	5.740E-1	2.518E+1	4.393E+1	6.659E+0			3.914E+2	2.537E-6
2.000E+0	1.191E-7	3.215E-9	2.978E-3	6.170E-1	2.072E+1	3.253E+1	5.478E+0			3.917E+2	0.000E+0
2.200E+0	1.881E-7	3.443E-9	4.703E-3	6.607E-1	1.405E+1	2.005E+1	3.714E+0			3.921E+2	2.114E-6
2.400E+0	2.170E-7	2.033E-9	5.425E-3	3.903E-1	7.194E+0	9.413E+0	1.902E+0			3.925E+2	2.537E-6
2.600E+0	2.128E-7	2.282E-9	5.320E-3	4.380E-1	8.234E+0	9.944E+0	2.177E+0			3.928E+2	5.075E-6
2.800E+0	2.432E-7	5.592E-9	6.079E-3	1.073E+0	1.765E+1	1.980E+1	4.668E+0			3.932E+2	4.440E-6
3.000E+0	5.501E-7	1.719E-8	1.375E-2	3.299E+0	2.399E+1	2.511E+1	6.342E+0			3.935E+2	4.863E-6
3.200E+0	8.493E-7	6.297E-8	2.123E-2	1.209E+1	5.693E+1	5.586E+1	1.505E+1			3.939E+2	1.692E-6
3.400E+0	1.898E-6	1.886E-7	4.744E-2	3.619E+1	7.629E+1	7.045E+1	2.017E+1			3.943E+2	3.172E-6
3.600E+0	4.344E-6	4.666E-7	1.086E-1	8.956E+1	8.246E+1	7.192E+1	2.180E+1			3.946E+2	3.806E-6
3.800E+0	9.608E-6	1.009E-6	2.402E-1	1.936E+2	8.061E+1	6.661E+1	2.131E+1			3.950E+2	3.806E-6
4.000E+0	1.910E-5	1.940E-6	4.775E-1	3.723E+2	7.796E+1	6.120E+1	2.061E+1			3.954E+2	4.230E-7
4.200E+0	3.543E-5	3.390E-6	8.857E-1	6.507E+2	7.347E+1	5.493E+1	1.943E+1			3.957E+2	3.172E-6
4.400E+0	6.072E-5	5.487E-6	1.518E+0	1.053E+3	6.937E+1	4.951E+1	1.834E+1			3.961E+2	5.709E-6
4.600E+0	9.843E-5	8.300E-6	2.461E+0	1.593E+3	6.474E+1	4.419E+1	1.712E+1			3.965E+2	3.595E-6
4.800E+0	1.509E-4	1.187E-5	3.772E+0	2.279E+3	6.040E+1	3.951E+1	1.597E+1			3.968E+2	3.806E-6
5.000E+0	2.208E-4	1.631E-5	5.520E+0	3.131E+3	5.671E+1	3.562E+1	1.500E+1			3.972E+2	8.460E-7
5.200E+0	3.374E-4	2.150E-5	8.434E+0	4.126E+3	4.891E+1	2.954E+1	1.293E+1			3.975E+2	1.269E-6
5.400E+0	4.430E-4	2.776E-5	1.107E+1	5.328E+3	4.811E+1	2.797E+1	1.272E+1			3.979E+2	5.075E-6
5.600E+0	5.778E-4	3.487E-5	1.445E+1	6.693E+3	4.633E+1	2.598E+1	1.225E+1			3.983E+2	1.692E-6
5.800E+0	7.289E-4	4.289E-5	1.822E+1	8.232E+3	4.518E+1	2.446E+1	1.194E+1			3.986E+2	5.921E-6
6.000E+0	9.541E-4	5.146E-5	2.385E+1	9.877E+3	4.141E+1	2.167E+1	1.095E+1			3.990E+2	1.057E-6
6.200E+0	1.171E-3	6.102E-5	2.926E+1	1.171E+4	4.002E+1	2.027E+1	1.058E+1			3.994E+2	4.230E-7
6.400E+0	1.439E-3	7.115E-5	3.599E+1	1.366E+4	3.794E+1	1.862E+1	1.003E+1			3.997E+2	9.304E-6
6.600E+0	1.658E-3	8.252E-5	4.145E+1	1.584E+4	3.820E+1	1.818E+1	1.010E+1			4.001E+2	4.018E-6
6.800E+0	1.963E-3	9.420E-5	4.908E+1	1.808E+4	3.683E+1	1.701E+1	9.739E+0			4.005E+2	7.612E-6
7.000E+0	2.300E-3	1.064E-4	5.751E+1	2.043E+4	3.552E+1	1.593E+1	9.392E+0			4.008E+2	3.595E-6
7.200E+0	2.665E-3	1.191E-4	6.662E+1	2.287E+4	3.432E+1	1.497E+1	9.075E+0			4.012E+2	2.960E-6
7.400E+0	3.063E-3	1.325E-4	7.657E+1	2.542E+4	3.320E+1	1.409E+1	8.778E+0			4.015E+2	4.230E-7
7.600E+0	3.492E-3	1.463E-4	8.730E+1	2.807E+4	3.216E+1	1.329E+1	8.502E+0			4.019E+2	9.092E-6
7.800E+0	3.954E-3	1.606E-4	9.884E+1	3.082E+4	3.118E+1	1.255E+1	8.243E+0			4.023E+2	1.480E-6
8.000E+0	4.451E-3	1.754E-4	1.113E+2	3.366E+4	3.025E+1	1.187E+1	7.998E+0			4.026E+2	3.806E-6
8.200E+0	4.982E-3	1.906E-4	1.246E+2	3.659E+4	2.937E+1	1.125E+1	7.766E+0			4.030E+2	1.057E-6
8.400E+0	5.548E-3	2.063E-4	1.387E+2	3.959E+4	2.855E+1	1.067E+1	7.548E+0			4.034E+2	1.057E-6
8.600E+0	6.152E-3	2.224E-4	1.538E+2	4.269E+4	2.776E+1	1.013E+1	7.339E+0			4.037E+2	3.806E-6
8.800E+0	6.792E-3	2.389E-4	1.698E+2	4.585E+4	2.701E+1	9.636E+0	7.140E+0			4.041E+2	7.189E-6
9.000E+0	7.468E-3	2.557E-4	1.867E+2	4.908E+4	2.629E+1	9.172E+0	6.951E+0			4.045E+2	2.110E-7
9.200E+0	8.186E-3	2.730E-4	2.046E+2	5.239E+4	2.560E+1	8.738E+0	6.769E+0			4.048E+2	5.498E-6
9.400E+0	8.939E-3	2.904E-4	2.235E+2	5.575E+4	2.494E+1	8.333E+0	6.596E+0			4.052E+2	1.036E-5
9.600E+0	9.730E-3	3.082E-4	2.433E+2	5.915E+4	2.432E+1	7.953E+0	6.429E+0			4.055E+2	8.669E-6
9.800E+0	1.057E-2	3.262E-4	2.643E+2	6.260E+4	2.368E+1	7.588E+0	6.262E+0			4.059E+2	1.480E-6
1.000E+1	1.144E-2	3.444E-4	2.859E+2	6.610E+4	2.312E+1	7.260E+0	6.114E+0			4.063E+2	4.018E-6
										4.066E+2	6.555E-6
										4.070E+2	3.172E-6
										4.074E+2	8.035E-6
										4.077E+2	2.326E-6
										4.081E+2	1.205E-5
										4.084E+2	4.652E-6
										4.088E+2	4.230E-7
										4.092E+2	6.340E-7
										4.095E+2	2.110E-7
										4.099E+2	1.903E-6
										4.102E+2	1.036E-5
										4.106E+2	7.612E-6
										4.110E+2	2.115E-6
										4.113E+2	5.075E-6
										4.117E+2	6.132E-6
										4.121E+2	8.458E-6
										4.124E+2	3.172E-6
										4.128E+2	2.960E-6
										4.131E+2	3.383E-6
										4.135E+2	3.383E-6
										4.139E+2	3.595E-6
										4.142E+2	1.903E-6
										4.146E+2	2.115E-6
										4.150E+2	1.057E-6
										4.153E+2	4.440E-6
										4.157E+2	4.230E-7
										4.160E+2	2.749E-6
										4.164E+2	7.612E-6
										4.168E+2	3.383E-6
										4.171E+2	1.057E-6
										4.175E+2	5.286E-6
										4.178E+2	1.692E-6
										4.182E+2	5.075E-6
										4.186E+2	8.460E-7
										4.189E+2	4.652E-6
										4.193E+2	4.863E-6
