Wav (nm)	CalR)	Wav (nm)	MeasuredR	Torg (nm)	Tmir (nm)	
Wavelength (nm) - Plot 0	Reflectance - Plot 0	Wavelength (nm) - ÇúÏß 1	Reflectance - ÇúÏß 1	
380.00	0.57	380.79	0.56	
382.00	0.56	381.15	0.55	
384.00	0.56	381.52	0.62	
386.00	0.55	381.88	0.58	
388.00	0.55	382.25	0.54	
390.00	0.55	382.61	0.58	
392.00	0.55	382.98	0.58	
394.00	0.55	383.34	0.62	
396.00	0.55	383.71	0.62	
398.00	0.56	384.07	0.55	
400.00	0.56	384.44	0.62	
402.00	0.56	384.80	0.61	
404.00	0.56	385.17	0.60	
406.00	0.56	385.53	0.57	
408.00	0.56	385.90	0.57	
410.00	0.56	386.26	0.55	
412.00	0.55	386.63	0.60	
414.00	0.55	386.99	0.57	
416.00	0.55	387.36	0.54	
418.00	0.54	387.72	0.59	
420.00	0.53	388.08	0.58	
422.00	0.52	388.45	0.54	
424.00	0.51	388.81	0.58	
426.00	0.50	389.18	0.53	
428.00	0.48	389.54	0.60	
430.00	0.46	389.91	0.57	
432.00	0.45	390.27	0.52	
434.00	0.43	390.63	0.55	
436.00	0.41	391.00	0.57	
438.00	0.38	391.36	0.56	
440.00	0.36	391.73	0.53	
442.00	0.34	392.09	0.52	
444.00	0.31	392.46	0.56	
446.00	0.28	392.82	0.55	
448.00	0.26	393.18	0.60	
450.00	0.23	393.55	0.58	
452.00	0.21	393.91	0.56	
454.00	0.18	394.27	0.51	
456.00	0.16	394.64	0.58	
458.00	0.14	395.00	0.54	
460.00	0.13	395.37	0.56	
462.00	0.12	395.73	0.55	
464.00	0.11	396.09	0.53	
466.00	0.11	396.46	0.51	
468.00	0.12	396.82	0.54	
470.00	0.12	397.18	0.56	
472.00	0.14	397.55	0.50	
474.00	0.15	397.91	0.55	
476.00	0.17	398.27	0.56	
478.00	0.19	398.64	0.53	
480.00	0.22	399.00	0.56	
482.00	0.24	399.36	0.58	
484.00	0.27	399.73	0.55	
486.00	0.29	400.09	0.53	
488.00	0.32	400.45	0.56	
490.00	0.34	400.82	0.51	
492.00	0.37	401.18	0.50	
494.00	0.40	401.54	0.54	
496.00	0.42	401.91	0.53	
498.00	0.45	402.27	0.53	
500.00	0.47	402.63	0.53	
502.00	0.49	403.00	0.50	
504.00	0.51	403.36	0.56	
506.00	0.53	403.72	0.53	
508.00	0.55	404.08	0.58	
510.00	0.57	404.45	0.57	
512.00	0.59	404.81	0.55	
514.00	0.61	405.17	0.54	
516.00	0.62	405.54	0.55	
518.00	0.64	405.90	0.55	
520.00	0.65	406.26	0.55	
522.00	0.66	406.62	0.57	
524.00	0.68	406.99	0.53	
526.00	0.69	407.35	0.54	
528.00	0.70	407.71	0.54	
530.00	0.71	408.07	0.51	
532.00	0.72	408.44	0.54	
534.00	0.73	408.80	0.55	
536.00	0.73	409.16	0.52	
538.00	0.74	409.52	0.55	
540.00	0.75	409.88	0.53	
542.00	0.76	410.25	0.51	
544.00	0.77	410.61	0.55	
546.00	0.77	410.97	0.53	
548.00	0.78	411.33	0.58	
550.00	0.79	411.70	0.54	
552.00	0.80	412.06	0.54	
554.00	0.80	412.42	0.56	
556.00	0.81	412.78	0.54	
558.00	0.81	413.14	0.55	
560.00	0.82	413.51	0.54	
562.00	0.83	413.87	0.53	
564.00	0.83	414.23	0.55	
566.00	0.83	414.59	0.53	
568.00	0.84	414.95	0.56	
570.00	0.84	415.31	0.51	
572.00	0.84	415.68	0.52	
574.00	0.85	416.04	0.53	
576.00	0.85	416.40	0.56	
578.00	0.85	416.76	0.53	
580.00	0.86	417.12	0.53	
582.00	0.86	417.48	0.55	
584.00	0.86	417.84	0.54	
586.00	0.87	418.21	0.55	
588.00	0.87	418.57	0.55	
590.00	0.87	418.93	0.53	
592.00	0.87	419.29	0.54	
594.00	0.87	419.65	0.52	
596.00	0.88	420.01	0.54	
598.00	0.88	420.37	0.54	
600.00	0.88	420.73	0.54	
602.00	0.88	421.10	0.54	
604.00	0.88	421.46	0.55	
606.00	0.88	421.82	0.53	
608.00	0.88	422.18	0.52	
610.00	0.89	422.54	0.54	
612.00	0.89	422.90	0.53	
614.00	0.89	423.26	0.51	
616.00	0.89	423.62	0.53	
618.00	0.89	423.98	0.52	
620.00	0.89	424.34	0.54	
622.00	0.89	424.70	0.52	
624.00	0.89	425.06	0.52	
626.00	0.90	425.43	0.55	
628.00	0.90	425.79	0.54	
630.00	0.90	426.15	0.55	
632.00	0.90	426.51	0.52	
634.00	0.90	426.87	0.54	
636.00	0.90	427.23	0.52	
638.00	0.90	427.59	0.50	
640.00	0.90	427.95	0.52	
642.00	0.91	428.31	0.50	
644.00	0.91	428.67	0.53	
646.00	0.91	429.03	0.52	
648.00	0.91	429.39	0.52	
650.00	0.91	429.75	0.51	
652.00	0.91	430.11	0.51	
654.00	0.91	430.47	0.53	
656.00	0.91	430.83	0.54	
658.00	0.91	431.19	0.50	
660.00	0.91	431.55	0.52	
662.00	0.92	431.91	0.52	
664.00	0.92	432.27	0.52	
666.00	0.92	432.63	0.51	
668.00	0.92	432.99	0.54	
670.00	0.92	433.35	0.51	
672.00	0.92	433.71	0.51	
674.00	0.92	434.07	0.51	
676.00	0.92	434.43	0.50	
678.00	0.92	434.79	0.51	
680.00	0.92	435.15	0.48	
682.00	0.92	435.51	0.48	
684.00	0.93	435.87	0.48	
686.00	0.93	436.23	0.49	
688.00	0.93	436.59	0.49	
690.00	0.93	436.95	0.47	
692.00	0.93	437.30	0.47	
694.00	0.93	437.66	0.46	
696.00	0.93	438.02	0.47	
698.00	0.93	438.38	0.48	
700.00	0.93	438.74	0.48	
702.00	0.93	439.10	0.44	
704.00	0.93	439.46	0.45	
706.00	0.93	439.82	0.47	
708.00	0.93	440.18	0.46	
710.00	0.93	440.54	0.46	
712.00	0.93	440.90	0.45	
714.00	0.93	441.25	0.43	
716.00	0.93	441.61	0.45	
718.00	0.94	441.97	0.44	
720.00	0.94	442.33	0.46	
722.00	0.94	442.69	0.43	
724.00	0.94	443.05	0.43	
726.00	0.94	443.41	0.41	
728.00	0.94	443.77	0.43	
730.00	0.94	444.12	0.41	
732.00	0.94	444.48	0.41	
734.00	0.94	444.84	0.39	
736.00	0.94	445.20	0.41	
738.00	0.94	445.56	0.39	
740.00	0.94	445.92	0.40	
742.00	0.94	446.28	0.37	
744.00	0.94	446.63	0.38	
746.00	0.94	446.99	0.37	
748.00	0.94	447.35	0.37	
750.00	0.94	447.71	0.35	
752.00	0.94	448.07	0.36	
754.00	0.94	448.43	0.35	
756.00	0.95	448.78	0.35	
758.00	0.95	449.14	0.32	
760.00	0.95	449.50	0.34	
762.00	0.95	449.86	0.33	
764.00	0.95	450.22	0.33	
766.00	0.95	450.57	0.31	
768.00	0.95	450.93	0.30	
770.00	0.95	451.29	0.30	
772.00	0.95	451.65	0.29	
774.00	0.95	452.00	0.27	
776.00	0.95	452.36	0.27	
778.00	0.95	452.72	0.26	
780.00	0.95	453.08	0.26	
		453.44	0.27	
		453.79	0.25	
		454.15	0.24	
		454.51	0.23	
		454.87	0.23	
		455.22	0.22	
		455.58	0.21	
		455.94	0.21	
		456.29	0.21	
		456.65	0.19	
		457.01	0.19	
		457.37	0.18	
		457.72	0.17	
		458.08	0.16	
		458.44	0.16	
		458.79	0.15	
		459.15	0.15	
		459.51	0.14	
		459.87	0.14	
		460.22	0.13	
		460.58	0.14	
		460.94	0.12	
		461.29	0.13	
		461.65	0.12	
		462.01	0.11	
		462.36	0.12	
		462.72	0.12	
		463.08	0.10	
		463.43	0.11	
		463.79	0.11	
		464.15	0.12	
		464.50	0.11	
		464.86	0.12	
		465.21	0.11	
		465.57	0.11	
		465.93	0.11	
		466.28	0.11	
		466.64	0.12	
		467.00	0.12	
		467.35	0.12	
		467.71	0.12	
		468.06	0.12	
		468.42	0.12	
		468.78	0.13	
		469.13	0.13	
		469.49	0.14	
		469.84	0.13	
		470.20	0.14	
		470.55	0.13	
		470.91	0.15	
		471.27	0.16	
		471.62	0.16	
		471.98	0.16	
		472.33	0.16	
		472.69	0.17	
		473.04	0.18	
		473.40	0.18	
		473.75	0.18	
		474.11	0.18	
		474.46	0.19	
		474.82	0.19	
		475.18	0.20	
		475.53	0.20	
		475.89	0.22	
		476.24	0.22	
		476.60	0.23	
		476.95	0.24	
		477.31	0.23	
		477.66	0.23	
		478.02	0.24	
		478.37	0.25	
		478.73	0.26	
		479.08	0.26	
		479.43	0.27	
		479.79	0.27	
		480.14	0.29	
		480.50	0.29	
		480.85	0.30	
		481.21	0.30	
		481.56	0.30	
		481.92	0.31	
		482.27	0.32	
		482.63	0.32	
		482.98	0.32	
		483.33	0.32	
		483.69	0.34	
		484.04	0.34	
		484.40	0.34	
		484.75	0.35	
		485.10	0.36	
		485.46	0.37	
		485.81	0.37	
		486.17	0.37	
		486.52	0.38	
		486.87	0.38	
		487.23	0.40	
		487.58	0.40	
		487.94	0.40	
		488.29	0.41	
		488.64	0.41	
		489.00	0.42	
