Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)
-4.000E+0	4.953E-5	3.107E-9	1.238E+0	5.953E-1	4.808E-2	-3.774E-2	1.281E-2	2.796E-1	6.590E-1	3.808E+2	6.539E-7
-3.800E+0	2.016E-5	3.129E-9	5.041E-1	5.995E-1	1.189E-1	-9.827E-2	3.168E-2			3.811E+2	5.888E-6
-3.600E+0	1.942E-5	3.143E-9	4.854E-1	6.022E-1	1.241E-1	-1.082E-1	3.304E-2			3.815E+2	3.271E-6
-3.400E+0	1.843E-5	3.041E-9	4.608E-1	5.827E-1	1.265E-1	-1.168E-1	3.368E-2			3.819E+2	8.505E-6
-3.200E+0	9.160E-6	3.001E-9	2.290E-1	5.749E-1	2.510E-1	-2.463E-1	6.686E-2			3.822E+2	4.798E-6
-3.000E+0	6.279E-6	3.024E-9	1.570E-1	5.794E-1	3.691E-1	-3.863E-1	9.830E-2			3.826E+2	9.377E-6
-2.800E+0	5.282E-6	3.037E-9	1.320E-1	5.819E-1	4.407E-1	-4.942E-1	1.174E-1			3.830E+2	5.452E-6
-2.600E+0	4.406E-6	3.024E-9	1.102E-1	5.793E-1	5.259E-1	-6.351E-1	1.401E-1			3.833E+2	4.363E-7
-2.400E+0	3.423E-6	3.047E-9	8.557E-2	5.838E-1	6.823E-1	-8.927E-1	1.817E-1			3.837E+2	9.377E-6
-2.200E+0	2.796E-6	3.104E-9	6.989E-2	5.946E-1	8.508E-1	-1.214E+0	2.266E-1			3.841E+2	3.489E-6
-2.000E+0	2.396E-6	3.112E-9	5.990E-2	5.962E-1	9.953E-1	-1.563E+0	2.651E-1			3.844E+2	3.708E-6
-1.800E+0	1.951E-6	3.116E-9	4.877E-2	5.970E-1	1.224E+0	-2.135E+0	3.260E-1			3.848E+2	4.363E-7
-1.600E+0	1.498E-6	3.058E-9	3.745E-2	5.858E-1	1.564E+0	-3.070E+0	4.166E-1			3.852E+2	5.888E-6
-1.400E+0	1.253E-6	2.991E-9	3.133E-2	5.731E-1	1.829E+0	-4.102E+0	4.871E-1			3.855E+2	1.526E-6
-1.200E+0	8.811E-7	2.992E-9	2.203E-2	5.733E-1	2.603E+0	-6.810E+0	6.932E-1			3.859E+2	4.144E-6
-1.000E+0	6.541E-7	2.995E-9	1.635E-2	5.738E-1	3.509E+0	-1.102E+1	9.345E-1			3.863E+2	2.835E-6
-8.000E-1	4.886E-7	3.009E-9	1.221E-2	5.764E-1	4.719E+0	-1.852E+1	1.257E+0			3.866E+2	5.015E-6
-6.000E-1	2.561E-7	3.012E-9	6.401E-3	5.771E-1	9.015E+0	-4.718E+1	2.401E+0			3.870E+2	3.489E-6
